DEL komplett	DEL Schnittmenge	id0	url0	label0	label@fr0	label@de0	id1	url1	label1	label@fr1	label@de1	id2	url2	label2	label@fr2	label@de2	id3	url3	label3	label@fr3	label@de3	id4	url4	label4	label@fr4	label@de4
Amérique du Nord		Q77009625	https://www.wikidata.org/wiki/Q77009625	Dictionnaire des artistes de langue française en Amérique du Nord	Dictionnaire des artistes de langue française en Amérique du Nord		Q58157490	https://www.wikidata.org/wiki/Q58157490	Amérique du nord: Ontario et Ouest canadien			Q58157481	https://www.wikidata.org/wiki/Q58157481	Amérique du Nord: Ontario et Ouest canadien			P6470	https://www.wikidata.org/wiki/P6470	DALFAN ID	identifiant Dictionnaire des auteurs de langue française en Amérique du Nord		Q93616580	https://www.wikidata.org/wiki/Q93616580	Santé communautaire: Le Québec est à l'avant-garde en Amérique du Nord		
Amérique latine		Q97593124	https://www.wikidata.org/wiki/Q97593124	École doctorale 122 Europe latine - Amérique latine	École doctorale 122 Europe latine - Amérique latine	École doctorale 122 Europe latine - Amérique latine	Q100275876	https://www.wikidata.org/wiki/Q100275876	TV5MONDE Amérique latine	TV5MONDE Amérique latine	TV5MONDE Amérique latine	Q58414534	https://www.wikidata.org/wiki/Q58414534	L’union libre en Amérique latine : aspects récents d’un phénomène séculaire	L’union libre en Amérique latine : aspects récents d’un phénomène séculaire		Q58367365	https://www.wikidata.org/wiki/Q58367365	Géo-Charles,Art baroque an Amérique Latine			Q2945464	https://www.wikidata.org/wiki/Q2945464	Centre de recherche interuniversitaire sur les champs culturels en Amérique latine	Centre de recherche interuniversitaire sur les champs culturels en Amérique latine	
Amour	amour	Q637820	https://www.wikidata.org/wiki/Q637820	Amour	Amour	Liebe	Q474367	https://www.wikidata.org/wiki/Q474367	Amour	Amour	Amour	Q750425	https://www.wikidata.org/wiki/Q750425	Saint-Amour	Saint-Amour	Saint-Amour	Q30125012	https://www.wikidata.org/wiki/Q30125012	Amour	Amour	Amour	Q3246554	https://www.wikidata.org/wiki/Q3246554	Amour	Amour	
Anarchie		Q28205140	https://www.wikidata.org/wiki/Q28205140	Anarchie	Anarchie	Anarchie	Q2843971	https://www.wikidata.org/wiki/Q2843971	Amour Anarchie	Amour anarchie	Amour Anarchie	Q1822290	https://www.wikidata.org/wiki/Q1822290	Lexikon der Anarchie		Lexikon der Anarchie	Q1211019	https://www.wikidata.org/wiki/Q1211019	Die Anarchie		Die Anarchie	Q28376180	https://www.wikidata.org/wiki/Q28376180	Anarchie (album)	Anarchie	
Anatomie		Q234286	https://www.wikidata.org/wiki/Q234286	Anatomie	Anatomie	Anatomie	Q27713954	https://www.wikidata.org/wiki/Q27713954	Zeitschrift fur Zellforschung und mikroskopische Anatomie (Vienna, Austria : 1948)			Q27713976	https://www.wikidata.org/wiki/Q27713976	Zentralblatt fur allgemeine Pathologie u. pathologische Anatomie		Zentralblatt für allgemeine Pathologie und pathologische Anatomie	Q2183450	https://www.wikidata.org/wiki/Q2183450	Zeitschrift für Anatomie und Entwicklungsgeschichte			Q56963329	https://www.wikidata.org/wiki/Q56963329	Anatomie		
Anciens et Modernes		Q97301879	https://www.wikidata.org/wiki/Q97301879	Les musiciens polonais et slaves anciens et modernes	Les musiciens polonais et slaves anciens et modernes		Q83947872	https://www.wikidata.org/wiki/Q83947872	Tableaux anciens et modernes composant la collection de M.B. Narischkine	Tableaux anciens et modernes composant la collection de M.B. Narischkine	Tableaux anciens et modernes composant la collection de M.B. Narischkine	Q96048865	https://www.wikidata.org/wiki/Q96048865	Galerie des Arts Anciens et Modernes			Q51488289	https://www.wikidata.org/wiki/Q51488289		Histoire des jardins anciens et modernes : dessins par Anastasi, Daubigny, V. Foulquier, [et al.]		Q104154017	https://www.wikidata.org/wiki/Q104154017		Histoire des duels anciens et modernes	
Angleterre	angleterre	Q29648034	https://www.wikidata.org/wiki/Q29648034	Angleterre lace	point d’angleterre	Points d’Angleterre	Q3080531	https://www.wikidata.org/wiki/Q3080531	France-Angleterre	France-Angleterre	France-Angleterre	Q1991154	https://www.wikidata.org/wiki/Q1991154	Angleterre Hotel	hôtel d'Angleterre		Q28122122	https://www.wikidata.org/wiki/Q28122122	Nouvelle-Angleterre	Nouvelle-Angleterre	Nouvelle-Angleterre	Q79597462	https://www.wikidata.org/wiki/Q79597462	Séguier en Angleterre		
"Anti-Lumières "		Q2932583	https://www.wikidata.org/wiki/Q2932583		cacouac		Q457998	https://www.wikidata.org/wiki/Q457998	Counter-Enlightenment	Anti-Lumières	Gegenaufklärung	Q2909640	https://www.wikidata.org/wiki/Q2909640	Memoirs Illustrating the History of Jacobinism	Mémoires pour servir à l'histoire du Jacobinisme		Q965322	https://www.wikidata.org/wiki/Q965322	Charles Palissot de Montenoy	Charles Palissot de Montenoy	Charles Palissot de Montenoy	Q1770547	https://www.wikidata.org/wiki/Q1770547	blackout	black-out	Verdunkelung
Antique		Q13727	https://www.wikidata.org/wiki/Q13727	Antique	Antique	Antique	Q472760	https://www.wikidata.org/wiki/Q472760	antique	antiquité	Antiquität	Q582882	https://www.wikidata.org/wiki/Q582882	Antique	Antique	Antique	Q4775158	https://www.wikidata.org/wiki/Q4775158	Antique	Antique		Q2073977	https://www.wikidata.org/wiki/Q2073977	Antique	Antique	
Apologétique		Q191776	https://www.wikidata.org/wiki/Q191776	apologetics	apologétique	Apologetik	Q3236950	https://www.wikidata.org/wiki/Q3236950		Lettre apologétique de l'abbé Raynal à monsieur Grimm		Q22907519	https://www.wikidata.org/wiki/Q22907519	Counter-apologetics	Contre-apologétique		Q60209051	https://www.wikidata.org/wiki/Q60209051	(P.) Canivet Histoire d'une entreprise apologétique au Ve siecle. [Bibl. de l‘Histoire de l'Église.] Paris: Bloud et Gay. 1958. Pp. xxiv + 384. 12 folding tables. Price not stated			Q1377898	https://www.wikidata.org/wiki/Q1377898	Christian apologetics	apologétique chrétienne	
